"steps","date","interval","dow"
0,2012-10-01,0,"Monday"
0,2012-10-01,5,"Monday"
0,2012-10-01,10,"Monday"
0,2012-10-01,15,"Monday"
0,2012-10-01,20,"Monday"
0,2012-10-01,25,"Monday"
0,2012-10-01,30,"Monday"
0,2012-10-01,35,"Monday"
0,2012-10-01,40,"Monday"
0,2012-10-01,45,"Monday"
0,2012-10-01,50,"Monday"
0,2012-10-01,55,"Monday"
0,2012-10-01,100,"Monday"
0,2012-10-01,105,"Monday"
0,2012-10-01,110,"Monday"
0,2012-10-01,115,"Monday"
0,2012-10-01,120,"Monday"
0,2012-10-01,125,"Monday"
0,2012-10-01,130,"Monday"
0,2012-10-01,135,"Monday"
0,2012-10-01,140,"Monday"
0,2012-10-01,145,"Monday"
0,2012-10-01,150,"Monday"
0,2012-10-01,155,"Monday"
0,2012-10-01,200,"Monday"
0,2012-10-01,205,"Monday"
0,2012-10-01,210,"Monday"
0,2012-10-01,215,"Monday"
0,2012-10-01,220,"Monday"
0,2012-10-01,225,"Monday"
0,2012-10-01,230,"Monday"
0,2012-10-01,235,"Monday"
0,2012-10-01,240,"Monday"
0,2012-10-01,245,"Monday"
0,2012-10-01,250,"Monday"
0,2012-10-01,255,"Monday"
0,2012-10-01,300,"Monday"
0,2012-10-01,305,"Monday"
0,2012-10-01,310,"Monday"
0,2012-10-01,315,"Monday"
0,2012-10-01,320,"Monday"
0,2012-10-01,325,"Monday"
0,2012-10-01,330,"Monday"
0,2012-10-01,335,"Monday"
0,2012-10-01,340,"Monday"
0,2012-10-01,345,"Monday"
0,2012-10-01,350,"Monday"
0,2012-10-01,355,"Monday"
0,2012-10-01,400,"Monday"
0,2012-10-01,405,"Monday"
0,2012-10-01,410,"Monday"
0,2012-10-01,415,"Monday"
0,2012-10-01,420,"Monday"
0,2012-10-01,425,"Monday"
0,2012-10-01,430,"Monday"
0,2012-10-01,435,"Monday"
0,2012-10-01,440,"Monday"
0,2012-10-01,445,"Monday"
0,2012-10-01,450,"Monday"
0,2012-10-01,455,"Monday"
0,2012-10-01,500,"Monday"
0,2012-10-01,505,"Monday"
0,2012-10-01,510,"Monday"
0,2012-10-01,515,"Monday"
0,2012-10-01,520,"Monday"
0,2012-10-01,525,"Monday"
0,2012-10-01,530,"Monday"
0,2012-10-01,535,"Monday"
0,2012-10-01,540,"Monday"
0,2012-10-01,545,"Monday"
0,2012-10-01,550,"Monday"
0,2012-10-01,555,"Monday"
0,2012-10-01,600,"Monday"
0,2012-10-01,605,"Monday"
0,2012-10-01,610,"Monday"
0,2012-10-01,615,"Monday"
0,2012-10-01,620,"Monday"
0,2012-10-01,625,"Monday"
0,2012-10-01,630,"Monday"
0,2012-10-01,635,"Monday"
0,2012-10-01,640,"Monday"
0,2012-10-01,645,"Monday"
0,2012-10-01,650,"Monday"
0,2012-10-01,655,"Monday"
0,2012-10-01,700,"Monday"
0,2012-10-01,705,"Monday"
0,2012-10-01,710,"Monday"
0,2012-10-01,715,"Monday"
0,2012-10-01,720,"Monday"
0,2012-10-01,725,"Monday"
0,2012-10-01,730,"Monday"
0,2012-10-01,735,"Monday"
0,2012-10-01,740,"Monday"
0,2012-10-01,745,"Monday"
0,2012-10-01,750,"Monday"
0,2012-10-01,755,"Monday"
0,2012-10-01,800,"Monday"
0,2012-10-01,805,"Monday"
0,2012-10-01,810,"Monday"
0,2012-10-01,815,"Monday"
0,2012-10-01,820,"Monday"
0,2012-10-01,825,"Monday"
0,2012-10-01,830,"Monday"
0,2012-10-01,835,"Monday"
0,2012-10-01,840,"Monday"
0,2012-10-01,845,"Monday"
0,2012-10-01,850,"Monday"
0,2012-10-01,855,"Monday"
0,2012-10-01,900,"Monday"
0,2012-10-01,905,"Monday"
0,2012-10-01,910,"Monday"
0,2012-10-01,915,"Monday"
0,2012-10-01,920,"Monday"
0,2012-10-01,925,"Monday"
0,2012-10-01,930,"Monday"
0,2012-10-01,935,"Monday"
0,2012-10-01,940,"Monday"
0,2012-10-01,945,"Monday"
0,2012-10-01,950,"Monday"
0,2012-10-01,955,"Monday"
0,2012-10-01,1000,"Monday"
0,2012-10-01,1005,"Monday"
0,2012-10-01,1010,"Monday"
0,2012-10-01,1015,"Monday"
0,2012-10-01,1020,"Monday"
0,2012-10-01,1025,"Monday"
0,2012-10-01,1030,"Monday"
0,2012-10-01,1035,"Monday"
0,2012-10-01,1040,"Monday"
0,2012-10-01,1045,"Monday"
0,2012-10-01,1050,"Monday"
0,2012-10-01,1055,"Monday"
0,2012-10-01,1100,"Monday"
0,2012-10-01,1105,"Monday"
0,2012-10-01,1110,"Monday"
0,2012-10-01,1115,"Monday"
0,2012-10-01,1120,"Monday"
0,2012-10-01,1125,"Monday"
0,2012-10-01,1130,"Monday"
0,2012-10-01,1135,"Monday"
0,2012-10-01,1140,"Monday"
0,2012-10-01,1145,"Monday"
0,2012-10-01,1150,"Monday"
0,2012-10-01,1155,"Monday"
0,2012-10-01,1200,"Monday"
0,2012-10-01,1205,"Monday"
0,2012-10-01,1210,"Monday"
0,2012-10-01,1215,"Monday"
0,2012-10-01,1220,"Monday"
0,2012-10-01,1225,"Monday"
0,2012-10-01,1230,"Monday"
0,2012-10-01,1235,"Monday"
0,2012-10-01,1240,"Monday"
0,2012-10-01,1245,"Monday"
0,2012-10-01,1250,"Monday"
0,2012-10-01,1255,"Monday"
0,2012-10-01,1300,"Monday"
0,2012-10-01,1305,"Monday"
0,2012-10-01,1310,"Monday"
0,2012-10-01,1315,"Monday"
0,2012-10-01,1320,"Monday"
0,2012-10-01,1325,"Monday"
0,2012-10-01,1330,"Monday"
0,2012-10-01,1335,"Monday"
